	sector	community_name	group_category	category	count	resident_count	date	year	month	id	:@computed_region_4a3i_ccfj	:@computed_region_p8tp_5dkv	:@computed_region_4b54_tmc4	:@computed_region_kxmf_bzkv	geocoded_column.latitude	geocoded_column.longitude	geocoded_column.human_address
0	NORTH	THORNCLIFFE	Crime	Theft FROM Vehicle	9	8474	2018-03-01T12:00:00.000	2018	MAR	2018-MAR-THORNCLIFFE-Theft FROM Vehicle-9	2	4	2	192	51.103099554741	-114.068779421169	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
1	SOUTH	WOODBINE	Crime	Theft FROM Vehicle	3	8866	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WOODBINE-Theft FROM Vehicle-3	1	6	5	43	50.939610852207664	-114.12962865374453	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
2	SOUTH	WILLOW PARK	Crime	Theft FROM Vehicle	4	5328	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WILLOW PARK-Theft FROM Vehicle-4	3	5	6	89	50.95661926653037	-114.05620194518823	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
3	SOUTH	WILLOW PARK	Crime	Commercial Robbery	1	5328	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WILLOW PARK-Commercial Robbery-1	3	5	6	89	50.95661926653037	-114.05620194518823	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
4	WEST	LINCOLN PARK	Crime	Commercial Break & Enter	5	2617	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LINCOLN PARK-Commercial Break & Enter-5	1	2	8	42	51.0100906918158	-114.12955694059636	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
5	CENTRE	RAMSAY	Disorder	Social Disorder	11	2158	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RAMSAY-Social Disorder-11	3	11	10	132	51.036411166546735	-114.0425324585402	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
6	WEST	ASPEN WOODS	Crime	Commercial Break & Enter	1	9446	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ASPEN WOODS-Commercial Break & Enter-1	1	14	1	48	51.04513096885138	-114.20787627029682	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
7	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Theft OF Vehicle	2	255	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHEPARD INDUSTRIAL-Theft OF Vehicle-2	3	8	4	162	50.96148345779227	-113.99277756785193	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
8	WEST	NORTH GLENMORE PARK	Disorder	Social Disorder	12	2391	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-NORTH GLENMORE PARK-Social Disorder-12	1	5	8	122	51.001422376521376	-114.11224656687682	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
9	SOUTH	LAKE BONAVISTA	Crime	Assault (Non-domestic)	1	10293	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LAKE BONAVISTA-Assault (Non-domestic)-1	3	13	6	267	50.93980907043577	-114.05132286943763	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
10	SOUTH	SHAWNESSY	Crime	Commercial Break & Enter	1	9368	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHAWNESSY-Commercial Break & Enter-1	1	6	5	115	50.90330332947782	-114.0737568214987	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
11	CENTRE	DOWNTOWN WEST END	Disorder	Social Disorder	25	2785	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOWNTOWN WEST END-Social Disorder-25	1	2	14	45	51.04796931133656	-114.08777972149832	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
12	NORTHWEST	BRENTWOOD	Crime	Residential Break & Enter	2	7267	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BRENTWOOD-Residential Break & Enter-2	2	4	7	50	51.09606620448589	-114.13591450014103	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13	NORTHEAST	TEMPLE	Disorder	Physical Disorder	10	10977	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-TEMPLE-Physical Disorder-10	4	3	9	22	51.08879458506016	-113.94676773665904	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
14	SOUTH	SUNDANCE	Crime	Violence Other (Non-domestic)	1	9736	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SUNDANCE-Violence Other (Non-domestic)-1	3	13	6	52	50.90155510486336	-114.04204857668046	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
15	CENTRE	MISSION	Crime	Commercial Break & Enter	10	4598	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MISSION-Commercial Break & Enter-10	1	5	14	297	51.033158395427364	-114.06808323713915	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
16	NORTH	BEDDINGTON HEIGHTS	Crime	Residential Break & Enter	1	11514	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BEDDINGTON HEIGHTS-Residential Break & Enter-1	2	4	2	273	51.13164398532214	-114.08491114080483	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
17	WEST	GLAMORGAN	Crime	Commercial Break & Enter	4	6522	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GLAMORGAN-Commercial Break & Enter-4	1	14	1	142	51.01552804933978	-114.15286259623358	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
18	SOUTH	SOUTHWOOD	Crime	Violence Other (Non-domestic)	2	6246	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SOUTHWOOD-Violence Other (Non-domestic)-2	1	5	8	7	50.9577735651428	-114.08320089308144	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
19	CENTRE	DOWNTOWN COMMERCIAL CORE	Crime	Commercial Robbery	1	8683	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOWNTOWN COMMERCIAL CORE-Commercial Robbery-1	1	7	7	262	51.04727019967498	-114.06959221074015	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
20	NORTHWEST	VARSITY	Crime	Commercial Break & Enter	7	12874	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-VARSITY-Commercial Break & Enter-7	2	9	13	269	51.096001313234325	-114.16259525952493	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
21	NORTH	PANORAMA HILLS	Crime	Theft OF Vehicle	2	25710	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PANORAMA HILLS-Theft OF Vehicle-2	2	12	11	235	51.15971101107547	-114.08806340626336	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
22	NORTHEAST	REDSTONE	Crime	Theft FROM Vehicle	1	5848	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-REDSTONE-Theft FROM Vehicle-1	4	1	11	3	51.170446168252354	-113.95779456322208	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
23	SOUTHEAST	DOUGLASDALE/GLEN	Disorder	Social Disorder	10	12881	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOUGLASDALE/GLEN-Social Disorder-10	3	13	4	268	50.94844504498398	-114.01190367638158	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
24	SOUTH	KINGSLAND	Crime	Violence Other (Non-domestic)	1	4688	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-KINGSLAND-Violence Other (Non-domestic)-1	1	5	8	120	50.98688939290727	-114.0773652017753	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
25	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Assault (Non-domestic)	1	255	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHEPARD INDUSTRIAL-Assault (Non-domestic)-1	3	8	4	162	50.96148345779227	-113.99277756785193	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
26	NORTHWEST	COLLINGWOOD	Disorder	Social Disorder	8	2249	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COLLINGWOOD-Social Disorder-8	2	4	7	214	51.083504232297685	-114.10240136091258	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
27	CENTRE	RAMSAY	Crime	Theft FROM Vehicle	1	2158	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RAMSAY-Theft FROM Vehicle-1	3	11	10	132	51.036411166546735	-114.0425324585402	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
28	CENTRE	GREENVIEW	Disorder	Social Disorder	8	1906	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GREENVIEW-Social Disorder-8	4	4	2	241	51.094862194320754	-114.0574646481144	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
29	CENTRE	SOUTH CALGARY	Disorder	Social Disorder	32	4442	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SOUTH CALGARY-Social Disorder-32	1	2	14	207	51.02680703181255	-114.10206934847076	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
30	NORTHEAST	RUNDLE	Disorder	Social Disorder	84	11688	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RUNDLE-Social Disorder-84	4	3	9	34	51.074239973666835	-113.97005811864892	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
31	EAST	FOREST LAWN	Crime	Theft OF Vehicle	9	7814	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FOREST LAWN-Theft OF Vehicle-9	3	11	12	85	51.03784771845403	-113.97123028386736	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
32	NORTHEAST	CITYSCAPE	Crime	Violence Other (Non-domestic)	1	3104	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CITYSCAPE-Violence Other (Non-domestic)-1	4	1	11	176	51.14703155696725	-113.96125803148381	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
33	CENTRE	ROSEMONT	Crime	Theft OF Vehicle	1	1254	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ROSEMONT-Theft OF Vehicle-1	2	4	7	92	51.07839419931676	-114.09004296409613	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
34	WEST	01H	Crime	Theft FROM Vehicle	1	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-01H-Theft FROM Vehicle-1	2	9	13	290	51.09109619998551	-114.28274059879874	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
35	NORTHEAST	SUNRIDGE	Crime	Theft FROM Vehicle	12	11	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SUNRIDGE-Theft FROM Vehicle-12	4	3	9	83	51.074221599518935	-113.99170056999279	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
36	NORTHWEST	MONTGOMERY	Disorder	Social Disorder	29	4515	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MONTGOMERY-Social Disorder-29	2	7	13	24	51.07110787892585	-114.1622756118642	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
37	CENTRE	HIGHFIELD	Crime	Theft FROM Vehicle	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HIGHFIELD-Theft FROM Vehicle-2	3	11	10	75	51.01829467942129	-114.03720097741325	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
38	SOUTHEAST	MAHOGANY	Crime	Theft OF Vehicle	1	11784	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MAHOGANY-Theft OF Vehicle-1	3	8	4	116	50.89595849748311	-113.92452695887748	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
39	CENTRE	BANKVIEW	Crime	Assault (Non-domestic)	2	5256	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BANKVIEW-Assault (Non-domestic)-2	1	2	14	208	51.034131244481415	-114.10048919021384	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
40	WEST	SPRUCE CLIFF	Crime	Assault (Non-domestic)	1	4673	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SPRUCE CLIFF-Assault (Non-domestic)-1	1	2	14	118	51.04860967166606	-114.13628214787398	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
41	WEST	GLAMORGAN	Crime	Residential Break & Enter	1	6522	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GLAMORGAN-Residential Break & Enter-1	1	14	1	142	51.01552804933978	-114.15286259623358	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
42	CENTRE	DOWNTOWN COMMERCIAL CORE	Crime	Theft FROM Vehicle	60	8683	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOWNTOWN COMMERCIAL CORE-Theft FROM Vehicle-60	1	7	7	262	51.04727019967498	-114.06959221074015	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
43	NORTH	THORNCLIFFE	Disorder	Social Disorder	46	8788	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-THORNCLIFFE-Social Disorder-46	2	4	2	192	51.103099554748056	-114.06877942116893	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
44	NORTH	EVANSTON	Disorder	Physical Disorder	2	17685	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-EVANSTON-Physical Disorder-2	2	10	3	237	51.171117591304785	-114.11245112799256	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
45	NORTHEAST	SADDLE RIDGE	Crime	Commercial Break & Enter	1	22321	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SADDLE RIDGE-Commercial Break & Enter-1	4	1	11	2	51.13057324213389	-113.94562252266931	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
46	CENTRE	CAMBRIAN HEIGHTS	Disorder	Physical Disorder	1	2036	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CAMBRIAN HEIGHTS-Physical Disorder-1	2	4	7	276	51.08433917159911	-114.08937896534357	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
47	CENTRE	TUXEDO PARK	Disorder	Physical Disorder	4	5326	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-TUXEDO PARK-Physical Disorder-4	4	7	10	69	51.074245240422314	-114.0610445200781	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
48	NORTHWEST	HAMPTONS	Crime	Violence Other (Non-domestic)	1	7382	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HAMPTONS-Violence Other (Non-domestic)-1	2	10	3	286	51.14509283969437	-114.14668419231347	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
49	CENTRE	SUNALTA	Disorder	Physical Disorder	4	3239	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SUNALTA-Physical Disorder-4	1	2	14	136	51.042958639874435	-114.10146768773632	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
50	CENTRE	HOUNSFIELD HEIGHTS/BRIAR HILL	Crime	Residential Break & Enter	3	2798	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HOUNSFIELD HEIGHTS/BRIAR HILL-Residential Break & Enter-3	2	7	7	152	51.063197852108445	-114.10572815630559	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
51	CENTRE	MISSION	Crime	Residential Break & Enter	1	4598	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MISSION-Residential Break & Enter-1	1	5	14	297	51.033158395427364	-114.06808323713915	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
52	SOUTHEAST	SECTION 23	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SECTION 23-Physical Disorder-2	3	8	10	104	50.97093554627713	-113.94780458888414	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
53	CENTRE	BELTLINE	Crime	Theft OF Vehicle	13	25129	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BELTLINE-Theft OF Vehicle-13	3	5	14	260	51.03743792621707	-114.05518879725622	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
54	SOUTH	MAPLE RIDGE	Disorder	Social Disorder	6	1916	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MAPLE RIDGE-Social Disorder-6	3	5	6	93	50.95763947437787	-114.0346784529955	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
55	SOUTHEAST	MCKENZIE TOWNE	Disorder	Physical Disorder	6	18283	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MCKENZIE TOWNE-Physical Disorder-6	3	8	4	46	50.91713725138621	-113.96147999523379	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
56	SOUTH	CHINOOK PARK	Crime	Commercial Break & Enter	2	1662	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CHINOOK PARK-Commercial Break & Enter-2	1	5	8	59	50.983246429039454	-114.0889934233183	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
57	NORTH	COUNTRY HILLS	Crime	Theft FROM Vehicle	2	3767	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COUNTRY HILLS-Theft FROM Vehicle-2	2	12	2	172	51.143775683110206	-114.0798937747985	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
58	NORTHEAST	SKYVIEW RANCH	Crime	Theft FROM Vehicle	3	11707	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SKYVIEW RANCH-Theft FROM Vehicle-3	4	1	11	12	51.15612673497898	-113.95837456074634	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
59	CENTRE	SCARBORO	Disorder	Social Disorder	2	931	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SCARBORO-Social Disorder-2	1	2	14	173	51.04072250563095	-114.10714883601082	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60	NORTHWEST	DALHOUSIE	Disorder	Physical Disorder	1	8940	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DALHOUSIE-Physical Disorder-1	2	4	7	38	51.109413833961156	-114.15816461520822	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
61	CENTRE	MEADOWLARK PARK	Disorder	Social Disorder	27	644	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MEADOWLARK PARK-Social Disorder-27	1	5	8	64	50.99782962995084	-114.07735542175806	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
62	SOUTH	SOMERSET	Crime	Theft FROM Vehicle	1	8543	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SOMERSET-Theft FROM Vehicle-1	1	6	5	55	50.89869686344839	-114.08130751456942	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
63	NORTH	02L	Disorder	Social Disorder	1	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-02L-Social Disorder-1	2	10	3	288	51.197744275211036	-114.1179455296621	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
64	NORTHEAST	PINERIDGE	Crime	Commercial Robbery	2	10022	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PINERIDGE-Commercial Robbery-2	4	3	9	36	51.074259757631374	-113.94676495577161	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
65	NORTHWEST	TUSCANY	Disorder	Physical Disorder	3	19884	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-TUSCANY-Physical Disorder-3	2	9	13	158	51.12188985111696	-114.24079065901304	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
66	EAST	FOOTHILLS	Crime	Theft OF Vehicle	10	317	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FOOTHILLS-Theft OF Vehicle-10	3	11	10	159	50.99416606568998	-113.98198902398701	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
67	NORTHWEST	BOWNESS	Crime	Assault (Non-domestic)	8	11150	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BOWNESS-Assault (Non-domestic)-8	2	9	13	149	51.08335944242536	-114.18782602664336	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
68	NORTHWEST	COLLINGWOOD	Crime	Commercial Break & Enter	4	2249	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COLLINGWOOD-Commercial Break & Enter-4	2	4	7	214	51.083504232297685	-114.10240136091258	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
69	NORTHEAST	STONEY 2	Crime	Theft FROM Vehicle	5	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-STONEY 2-Theft FROM Vehicle-5	4	1	11	13	51.14338378225709	-114.01721821479654	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
70	SOUTHEAST	EAST SHEPARD INDUSTRIAL	Crime	Theft OF Vehicle	6	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-EAST SHEPARD INDUSTRIAL-Theft OF Vehicle-6	3	8	4	79	50.951244506177744	-113.950956719842	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
71	WEST	WEST SPRINGS	Crime	Violence Other (Non-domestic)	1	10758	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WEST SPRINGS-Violence Other (Non-domestic)-1	1	14	1	114	51.05971960915254	-114.20616821197828	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
72	NORTHEAST	PINERIDGE	Crime	Theft OF Vehicle	6	10022	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PINERIDGE-Theft OF Vehicle-6	4	3	9	36	51.074259757631374	-113.94676495577161	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
73	NORTHEAST	FALCONRIDGE	Crime	Violence Other (Non-domestic)	3	10653	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FALCONRIDGE-Violence Other (Non-domestic)-3	4	1	9	56	51.10330638378534	-113.94537499024918	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
74	CENTRE	LOWER MOUNT ROYAL	Disorder	Physical Disorder	4	3457	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LOWER MOUNT ROYAL-Physical Disorder-4	1	2	14	16	51.03648181086611	-114.08650031444067	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
75	CENTRE	GREENVIEW INDUSTRIAL PARK	Crime	Commercial Break & Enter	6	225	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GREENVIEW INDUSTRIAL PARK-Commercial Break & Enter-6	4	4	2	239	51.08651539849002	-114.04905097324385	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
76	NORTH	KINCORA	Crime	Commercial Break & Enter	1	6889	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-KINCORA-Commercial Break & Enter-1	2	10	3	220	51.16026670748173	-114.13286512975175	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
77	NORTH	COUNTRY HILLS VILLAGE	Crime	Commercial Break & Enter	4	2597	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COUNTRY HILLS VILLAGE-Commercial Break & Enter-4	4	12	11	264	51.158203848304325	-114.06139543185002	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
78	CENTRE	MANCHESTER	Disorder	Physical Disorder	4	1025	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MANCHESTER-Physical Disorder-4	1	11	10	124	51.00623889050489	-114.06664675902346	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
79	CENTRE	WINSTON HEIGHTS/MOUNTVIEW	Disorder	Physical Disorder	7	3635	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WINSTON HEIGHTS/MOUNTVIEW-Physical Disorder-7	4	7	10	88	51.07532495780659	-114.04185548061031	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
