	sector	community_name	group_category	category	count	resident_count	date	year
0	NORTH	THORNCLIFFE	Crime	Theft FROM Vehicle	9	8474	2018-03-01T12:00:00.000	2018
1	SOUTH	WOODBINE	Crime	Theft FROM Vehicle	3	8866	2019-11-01T00:00:00.000	2019
2	SOUTH	WILLOW PARK	Crime	Theft FROM Vehicle	4	5328	2019-11-01T00:00:00.000	2019
3	SOUTH	WILLOW PARK	Crime	Commercial Robbery	1	5328	2019-11-01T00:00:00.000	2019
4	WEST	LINCOLN PARK	Crime	Commercial Break & Enter	5	2617	2019-11-01T00:00:00.000	2019
5	CENTRE	RAMSAY	Disorder	Social Disorder	11	2158	2019-11-01T00:00:00.000	2019
6	WEST	ASPEN WOODS	Crime	Commercial Break & Enter	1	9446	2019-11-01T00:00:00.000	2019
7	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Theft OF Vehicle	2	255	2019-11-01T00:00:00.000	2019
8	WEST	NORTH GLENMORE PARK	Disorder	Social Disorder	12	2391	2019-11-01T00:00:00.000	2019
9	SOUTH	LAKE BONAVISTA	Crime	Assault (Non-domestic)	1	10293	2019-11-01T00:00:00.000	2019
10	SOUTH	SHAWNESSY	Crime	Commercial Break & Enter	1	9368	2019-11-01T00:00:00.000	2019
11	CENTRE	DOWNTOWN WEST END	Disorder	Social Disorder	25	2785	2019-11-01T00:00:00.000	2019
12	NORTHWEST	BRENTWOOD	Crime	Residential Break & Enter	2	7267	2019-11-01T00:00:00.000	2019
13	NORTHEAST	TEMPLE	Disorder	Physical Disorder	10	10977	2019-11-01T00:00:00.000	2019
14	SOUTH	SUNDANCE	Crime	Violence Other (Non-domestic)	1	9736	2019-11-01T00:00:00.000	2019
15	CENTRE	MISSION	Crime	Commercial Break & Enter	10	4598	2019-11-01T00:00:00.000	2019
16	NORTH	BEDDINGTON HEIGHTS	Crime	Residential Break & Enter	1	11514	2019-11-01T00:00:00.000	2019
17	WEST	GLAMORGAN	Crime	Commercial Break & Enter	4	6522	2019-11-01T00:00:00.000	2019
18	SOUTH	SOUTHWOOD	Crime	Violence Other (Non-domestic)	2	6246	2019-11-01T00:00:00.000	2019
19	CENTRE	DOWNTOWN COMMERCIAL CORE	Crime	Commercial Robbery	1	8683	2019-11-01T00:00:00.000	2019
20	NORTHWEST	VARSITY	Crime	Commercial Break & Enter	7	12874	2019-11-01T00:00:00.000	2019
21	NORTH	PANORAMA HILLS	Crime	Theft OF Vehicle	2	25710	2019-11-01T00:00:00.000	2019
22	NORTHEAST	REDSTONE	Crime	Theft FROM Vehicle	1	5848	2019-11-01T00:00:00.000	2019
23	SOUTHEAST	DOUGLASDALE/GLEN	Disorder	Social Disorder	10	12881	2019-11-01T00:00:00.000	2019
24	SOUTH	KINGSLAND	Crime	Violence Other (Non-domestic)	1	4688	2019-11-01T00:00:00.000	2019
25	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Assault (Non-domestic)	1	255	2019-11-01T00:00:00.000	2019
26	NORTHWEST	COLLINGWOOD	Disorder	Social Disorder	8	2249	2019-11-01T00:00:00.000	2019
27	CENTRE	RAMSAY	Crime	Theft FROM Vehicle	1	2158	2019-11-01T00:00:00.000	2019
28	CENTRE	GREENVIEW	Disorder	Social Disorder	8	1906	2019-11-01T00:00:00.000	2019
29	CENTRE	SOUTH CALGARY	Disorder	Social Disorder	32	4442	2019-11-01T00:00:00.000	2019
30	NORTHEAST	RUNDLE	Disorder	Social Disorder	84	11688	2019-11-01T00:00:00.000	2019
31	EAST	FOREST LAWN	Crime	Theft OF Vehicle	9	7814	2019-11-01T00:00:00.000	2019
32	NORTHEAST	CITYSCAPE	Crime	Violence Other (Non-domestic)	1	3104	2019-11-01T00:00:00.000	2019
33	CENTRE	ROSEMONT	Crime	Theft OF Vehicle	1	1254	2019-11-01T00:00:00.000	2019
34	WEST	01H	Crime	Theft FROM Vehicle	1	0	2019-11-01T00:00:00.000	2019
35	NORTHEAST	SUNRIDGE	Crime	Theft FROM Vehicle	12	11	2019-11-01T00:00:00.000	2019
36	NORTHWEST	MONTGOMERY	Disorder	Social Disorder	29	4515	2019-11-01T00:00:00.000	2019
37	CENTRE	HIGHFIELD	Crime	Theft FROM Vehicle	2	0	2019-11-01T00:00:00.000	2019
38	SOUTHEAST	MAHOGANY	Crime	Theft OF Vehicle	1	11784	2019-11-01T00:00:00.000	2019
39	CENTRE	BANKVIEW	Crime	Assault (Non-domestic)	2	5256	2019-11-01T00:00:00.000	2019
40	WEST	SPRUCE CLIFF	Crime	Assault (Non-domestic)	1	4673	2019-11-01T00:00:00.000	2019
41	WEST	GLAMORGAN	Crime	Residential Break & Enter	1	6522	2019-11-01T00:00:00.000	2019
42	CENTRE	DOWNTOWN COMMERCIAL CORE	Crime	Theft FROM Vehicle	60	8683	2019-11-01T00:00:00.000	2019
43	NORTH	THORNCLIFFE	Disorder	Social Disorder	46	8788	2019-11-01T00:00:00.000	2019
44	NORTH	EVANSTON	Disorder	Physical Disorder	2	17685	2019-11-01T00:00:00.000	2019
45	NORTHEAST	SADDLE RIDGE	Crime	Commercial Break & Enter	1	22321	2019-11-01T00:00:00.000	2019
46	CENTRE	CAMBRIAN HEIGHTS	Disorder	Physical Disorder	1	2036	2019-11-01T00:00:00.000	2019
47	CENTRE	TUXEDO PARK	Disorder	Physical Disorder	4	5326	2019-11-01T00:00:00.000	2019
48	NORTHWEST	HAMPTONS	Crime	Violence Other (Non-domestic)	1	7382	2019-11-01T00:00:00.000	2019
49	CENTRE	SUNALTA	Disorder	Physical Disorder	4	3239	2019-11-01T00:00:00.000	2019
50	CENTRE	HOUNSFIELD HEIGHTS/BRIAR HILL	Crime	Residential Break & Enter	3	2798	2019-11-01T00:00:00.000	2019
51	CENTRE	MISSION	Crime	Residential Break & Enter	1	4598	2019-11-01T00:00:00.000	2019
52	SOUTHEAST	SECTION 23	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019
53	CENTRE	BELTLINE	Crime	Theft OF Vehicle	13	25129	2019-11-01T00:00:00.000	2019
54	SOUTH	MAPLE RIDGE	Disorder	Social Disorder	6	1916	2019-11-01T00:00:00.000	2019
55	SOUTHEAST	MCKENZIE TOWNE	Disorder	Physical Disorder	6	18283	2019-11-01T00:00:00.000	2019
56	SOUTH	CHINOOK PARK	Crime	Commercial Break & Enter	2	1662	2019-11-01T00:00:00.000	2019
57	NORTH	COUNTRY HILLS	Crime	Theft FROM Vehicle	2	3767	2019-11-01T00:00:00.000	2019
58	NORTHEAST	SKYVIEW RANCH	Crime	Theft FROM Vehicle	3	11707	2019-11-01T00:00:00.000	2019
59	CENTRE	SCARBORO	Disorder	Social Disorder	2	931	2019-11-01T00:00:00.000	2019
60	NORTHWEST	DALHOUSIE	Disorder	Physical Disorder	1	8940	2019-11-01T00:00:00.000	2019
61	CENTRE	MEADOWLARK PARK	Disorder	Social Disorder	27	644	2019-11-01T00:00:00.000	2019
62	SOUTH	SOMERSET	Crime	Theft FROM Vehicle	1	8543	2019-11-01T00:00:00.000	2019
63	NORTH	02L	Disorder	Social Disorder	1	0	2019-11-01T00:00:00.000	2019
64	NORTHEAST	PINERIDGE	Crime	Commercial Robbery	2	10022	2019-11-01T00:00:00.000	2019
65	NORTHWEST	TUSCANY	Disorder	Physical Disorder	3	19884	2019-11-01T00:00:00.000	2019
66	EAST	FOOTHILLS	Crime	Theft OF Vehicle	10	317	2019-11-01T00:00:00.000	2019
